2025-02-09 22:46:36.284 | 35908:53896 | INFO     | __main__:main:959 | Main: Initializing research agent
2025-02-09 22:46:36.299 | 35908:53896 | INFO     | scripts.llm_compiler:__init__:77 | Compiler: Initialized LLM compiler
2025-02-09 22:46:37.186 | 35908:53896 | INFO     | scripts.llm_compiler:__init__:77 | Compiler: Initialized LLM compiler
2025-02-09 22:46:37.628 | 35908:53896 | INFO     | scripts.knowledge_acquisition:__init__:278 | KnowledgeAcquisition: Knowledge acquisition system initialized
2025-02-09 22:46:37.629 | 35908:53896 | INFO     | scripts.knowledge_acquisition:__init__:278 | 
Local Variables:
  self = <scripts.knowledge_acquisition.KnowledgeAcquisitionSystem object at 0x000002C86A55AA50>
  config = domains=[DomainConfig(name='medical', description='Medical domain knowledge including diseases, treatments, and healthcare concepts', classes=[OntologyClass(name='Disease', description='A medical cond...
  api_key = AIzaSyA_5-fcCihRyNZvfl6S5wm420SnuvijQT0
  llm = temperature=0.7 api_key=SecretStr('**********') pydantic_schema=<class 'prompts.knowledge_acquisition.entity_extraction.EntityResponse'>
  __class__ = <class 'scripts.knowledge_acquisition.KnowledgeAcquisitionSystem'>

2025-02-09 22:46:37.631 | 35908:53896 | INFO     | scripts.llm_compiler:__init__:77 | Compiler: Initialized LLM compiler
2025-02-09 22:46:37.633 | 35908:53896 | INFO     | scripts.llm_compiler:__init__:77 | Compiler: Initialized LLM compiler
2025-02-09 22:46:37.636 | 35908:53896 | INFO     | scripts.llm_compiler:register_tool:87 | Compiler: Registered tool: _research_topics
2025-02-09 22:46:37.637 | 35908:53896 | INFO     | scripts.llm_compiler:register_tool:87 | Compiler: Registered tool: _synthesize_knowledge
2025-02-09 22:46:37.638 | 35908:53896 | INFO     | scripts.llm_compiler:register_tool:87 | Compiler: Registered tool: _generate_examples
2025-02-09 22:46:37.640 | 35908:53896 | INFO     | scripts.llm_compiler:register_tool:87 | Compiler: Registered tool: _train_model
2025-02-09 22:46:37.641 | 35908:53896 | INFO     | __main__:__init__:206 | Research: Research agent initialized
2025-02-09 22:46:37.642 | 35908:53896 | INFO     | __main__:main:962 | Main: Starting research agent
2025-02-09 22:46:37.643 | 35908:53896 | INFO     | __main__:run:608 | Research: Starting research workflow for domain: test_domain
2025-02-09 22:46:37.644 | 35908:53896 | INFO     | __main__:run:643 | Execution: Starting execution of 4 tasks
2025-02-09 22:46:37.645 | 35908:53896 | INFO     | __main__:run:657 | Execution: Executing task 0: _research_topics
2025-02-09 22:46:37.646 | 35908:53896 | INFO     | __main__:_research_topics:229 | Research: Starting topic research for domain: test_domain
2025-02-09 22:46:37.647 | 35908:53896 | INFO     | scripts.knowledge_acquisition:initialize:287 | KnowledgeAcquisition: Starting system initialization
2025-02-09 22:46:38.103 | 35908:53896 | INFO     | scripts.knowledge_acquisition:initialize:296 | KnowledgeAcquisition: Embeddings initialized
2025-02-09 22:46:38.265 | 35908:53896 | INFO     | scripts.knowledge_acquisition:initialize:309 | KnowledgeAcquisition: Vector store initialized
